bin,real,imag,mag
0.000000000000000000e+00,4.414213562373081601e-01,6.414213562373110022e-01,7.786360959907369095e-01
1.000000000000000000e+00,4.595144814645593101e-01,5.764240539855265411e-01,7.371690774094855625e-01
2.000000000000000000e+00,3.719288881365732102e-01,6.644522091388935792e-01,7.614642710331611664e-01
3.000000000000000000e+00,3.266441514905384924e-01,7.026945289737986933e-01,7.749038667813463732e-01
4.000000000000000000e+00,2.878455625328628642e-01,7.399905829680827329e-01,7.940032309451285908e-01
5.000000000000000000e+00,2.537506332427803546e-01,7.763761436767802060e-01,8.167920790149353349e-01
6.000000000000000000e+00,2.216968822784930460e-01,8.078138006366022417e-01,8.376829018852873787e-01
7.000000000000000000e+00,1.489351682931275844e-01,7.755111221344308525e-01,7.896829648084771058e-01
8.000000000000000000e+00,2.000000000000001776e-01,9.071067811865468622e-01,9.288932729192400650e-01
9.000000000000000000e+00,1.691692798017452315e-01,9.220238205261594988e-01,9.374146205635459639e-01
1.000000000000000000e+01,1.405707689636384039e-01,9.402178471912465696e-01,9.506680499858880529e-01
1.100000000000000000e+01,1.058250998033881674e-01,9.564580007547033302e-01,9.622945801344209293e-01
1.200000000000000000e+01,5.777314293662982880e-02,9.725312441007297748e-01,9.742457373768126372e-01
1.300000000000000000e+01,-3.524706566539692609e-02,1.000035346548489912e+00,1.000656309621030138e+00
1.400000000000000000e+01,8.801951499387317135e-02,9.565359838323250763e-01,9.605771824199400566e-01
1.500000000000000000e+01,-6.162995189762188186e-02,1.004294578474313582e+00,1.006183805933986486e+00
1.600000000000000000e+01,-1.585786437626883760e-01,1.041421356237305584e+00,1.053425663008435764e+00
1.700000000000000000e+01,-2.593041127394712930e-01,1.090488972320473593e+00,1.120894652336323238e+00
1.800000000000000000e+01,-3.672366318719679779e-01,1.156831713881621759e+00,1.213722521019922951e+00
1.900000000000000000e+01,-4.813440320133061112e-01,1.244007165979601703e+00,1.333883767861138159e+00
2.000000000000000000e+01,-5.995292620252489213e-01,1.050927461087410864e+00,1.209910684510295376e+00
2.100000000000000000e+01,-7.197884756512298310e-01,1.490203426801513853e+00,1.654932537274947713e+00
2.200000000000000000e+01,-8.413482430068193185e-01,1.651586951874280285e+00,1.853538865417188486e+00
2.300000000000000000e+01,-9.666874656105851615e-01,1.838431971814448618e+00,2.077093346760847226e+00
2.400000000000000000e+01,-1.107106781186547817e+00,2.048528137423854645e+00,2.328551686084396000e+00
2.500000000000000000e+01,-1.309083099329018118e+00,2.270731039782121208e+00,2.621052844942059146e+00
2.600000000000000000e+01,-2.060695718039725843e+00,2.355601468221343531e+00,3.129748411523490148e+00
2.700000000000000000e+01,-6.514959069350494403e-01,3.203308821844541132e+00,3.268888851714017107e+00
2.800000000000000000e+01,-1.197436787888080723e+00,3.517449932344096197e+00,3.715684174890973246e+00
2.900000000000000000e+01,-1.555924349586146116e+00,4.084626466064233519e+00,4.370935134374274611e+00
3.000000000000000000e+01,-2.110887080837818175e+00,5.007215883532980527e+00,5.433972319800035145e+00
3.100000000000000000e+01,-3.335678644169661311e+00,6.872017406182123089e+00,7.638807187515577191e+00
3.200000000000000000e+01,-7.863961030678916941e+00,1.327817459305200920e+01,1.543216781970726537e+01
3.300000000000000000e+01,3.405108175621963795e+01,-4.426056614191725913e+01,5.584329757429969021e+01
3.400000000000000000e+01,6.302581046479311055e+00,-5.948052614799140159e+00,8.666132802805362800e+00
3.500000000000000000e+01,3.873344100649464217e+00,-2.525527828102577477e+00,4.623968569590036992e+00
