real,imag
0.000000000000000000e+00,0.000000000000000000e+00
7.071067811865473784e-02,0.000000000000000000e+00
1.414213562373094757e-01,0.000000000000000000e+00
2.121320343559642274e-01,0.000000000000000000e+00
2.828427124746189514e-01,0.000000000000000000e+00
3.535533905932737309e-01,0.000000000000000000e+00
4.242640687119284548e-01,0.000000000000000000e+00
4.949747468305832343e-01,0.000000000000000000e+00
5.656854249492379028e-01,0.000000000000000000e+00
6.363961030678927377e-01,0.000000000000000000e+00
7.071067811865474617e-01,0.000000000000000000e+00
7.363961030678927155e-01,0.000000000000000000e+00
7.656854249492379694e-01,0.000000000000000000e+00
7.949747468305832232e-01,0.000000000000000000e+00
8.242640687119284770e-01,0.000000000000000000e+00
8.535533905932737309e-01,0.000000000000000000e+00
8.828427124746189847e-01,0.000000000000000000e+00
9.121320343559642385e-01,0.000000000000000000e+00
9.414213562373094923e-01,0.000000000000000000e+00
9.707106781186547462e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
9.707106781186547462e-01,7.071067811865465458e-02
9.414213562373094923e-01,1.414213562373096145e-01
9.121320343559642385e-01,2.121320343559642829e-01
8.828427124746189847e-01,2.828427124746189514e-01
8.535533905932737309e-01,3.535533905932738974e-01
8.242640687119284770e-01,4.242640687119285658e-01
7.949747468305833342e-01,4.949747468305832343e-01
7.656854249492380804e-01,5.656854249492379028e-01
7.363961030678927155e-01,6.363961030678928488e-01
7.071067811865475727e-01,7.071067811865474617e-01
6.363961030678928488e-01,7.363961030678927155e-01
5.656854249492382358e-01,7.656854249492379694e-01
4.949747468305831788e-01,7.949747468305832232e-01
4.242640687119285103e-01,8.242640687119284770e-01
3.535533905932737864e-01,8.535533905932737309e-01
2.828427124746191179e-01,8.828427124746189847e-01
2.121320343559641164e-01,9.121320343559643495e-01
1.414213562373094479e-01,9.414213562373094923e-01
7.071067811865472397e-02,9.707106781186547462e-01
0.000000000000000000e+00,1.000000000000000000e+00
-7.071067811865462682e-02,9.707106781186548572e-01
-1.414213562373092536e-01,9.414213562373096034e-01
-2.121320343559644772e-01,9.121320343559642385e-01
-2.828427124746191179e-01,8.828427124746189847e-01
-3.535533905932737309e-01,8.535533905932737309e-01
-4.242640687119283438e-01,8.242640687119285881e-01
-4.949747468305829567e-01,7.949747468305834452e-01
-5.656854249492375697e-01,7.656854249492381914e-01
-6.363961030678921826e-01,7.363961030678930486e-01
-7.071067811865474617e-01,7.071067811865475727e-01
-7.363961030678927155e-01,6.363961030678928488e-01
-7.656854249492379694e-01,5.656854249492382358e-01
-7.949747468305831122e-01,4.949747468305835119e-01
-8.242640687119283660e-01,4.242640687119287879e-01
-8.535533905932736198e-01,3.535533905932741194e-01
-8.828427124746188737e-01,2.828427124746193955e-01
-9.121320343559640165e-01,2.121320343559647270e-01
-9.414213562373094923e-01,1.414213562373094479e-01
-9.707106781186547462e-01,7.071067811865472397e-02
-1.000000000000000000e+00,0.000000000000000000e+00
-9.707106781186547462e-01,7.071067811865468233e-02
-9.414213562373096034e-01,1.414213562373093647e-01
-9.121320343559643495e-01,2.121320343559640331e-01
-8.828427124746190957e-01,2.828427124746187293e-01
-8.535533905932739529e-01,3.535533905932733978e-01
-8.242640687119284770e-01,4.242640687119286769e-01
-7.949747468305832232e-01,4.949747468305833453e-01
-7.656854249492379694e-01,5.656854249492380138e-01
-7.363961030678927155e-01,6.363961030678927377e-01
-7.071067811865475727e-01,7.071067811865474617e-01
-6.363961030678928488e-01,7.363961030678927155e-01
-5.656854249492382358e-01,7.656854249492379694e-01
-4.949747468305829012e-01,7.949747468305834452e-01
-4.242640687119281773e-01,8.242640687119285881e-01
-3.535533905932735088e-01,8.535533905932738419e-01
-2.828427124746188404e-01,8.828427124746190957e-01
-2.121320343559635058e-01,9.121320343559645716e-01
-1.414213562373094479e-01,9.414213562373094923e-01
-7.071067811865416886e-02,9.707106781186549682e-01
0.000000000000000000e+00,1.000000000000000000e+00
7.071067811865522357e-02,9.707106781186545241e-01
1.414213562373092536e-01,9.414213562373096034e-01
2.121320343559644772e-01,9.121320343559642385e-01
2.828427124746185073e-01,8.828427124746192067e-01
3.535533905932737309e-01,8.535533905932737309e-01
4.242640687119289544e-01,8.242640687119283660e-01
4.949747468305829567e-01,7.949747468305834452e-01
5.656854249492382358e-01,7.656854249492379694e-01
6.363961030678921826e-01,7.363961030678930486e-01
7.071067811865474617e-01,7.071067811865475727e-01
7.363961030678923825e-01,6.363961030678935149e-01
7.656854249492378583e-01,5.656854249492382358e-01
7.949747468305833342e-01,4.949747468305830678e-01
8.242640687119282550e-01,4.242640687119290099e-01
8.535533905932737309e-01,3.535533905932737864e-01
8.828427124746186516e-01,2.828427124746197840e-01
9.121320343559641275e-01,2.121320343559645050e-01
9.414213562373090483e-01,1.414213562373104471e-01
9.707106781186545241e-01,7.071067811865527908e-02
1.000000000000000000e+00,0.000000000000000000e+00
9.707106781186549682e-01,-7.071067811865415498e-02
9.414213562373094923e-01,-1.414213562373095034e-01
9.121320343559644606e-01,-2.121320343559636445e-01
8.828427124746189847e-01,-2.828427124746190069e-01
8.535533905932740639e-01,-3.535533905932731757e-01
8.242640687119284770e-01,-4.242640687119285103e-01
7.949747468305835563e-01,-4.949747468305826792e-01
7.656854249492380804e-01,-5.656854249492380138e-01
7.363961030678924935e-01,-6.363961030678934039e-01
